Time (days),Concentration (mg/L),Concentration Upper (mg/L),Concentration Lower (mg/L)
-87.29745949189838,318.7571930585831,350.63291236444144,286.8814737527248
-87.19743948789758,321.3565394472577,353.4921933919835,289.2208855025319
-87.09741948389677,323.90216365569034,356.2923800212594,291.5119472901213
-86.99739947989598,326.39468567123424,359.0341542383577,293.75521710411084
-86.89737947589518,328.834745937257,361.71822053098276,295.95127134353135
-86.79735947189438,331.22300334029023,364.34530367431927,298.1007030062612
-86.69733946789358,333.560133295735,366.91614662530856,300.2041199661615
-86.59731946389277,335.8468259292054,369.43150852212597,302.26214333628485
-86.49729945989198,338.0837843505572,371.892162785613,304.2754059155015
-86.39727945589118,340.27172301761874,374.2988953193806,306.24455071585686
-86.29725945189038,342.4113661866454,376.65250280531,308.17022956798087
-86.19723944788957,344.5034464465026,378.9537910911529,310.05310180185234
-86.09721944388878,346.54870333361737,381.20357366697914,311.89383300025565
-85.99719943988798,348.54788202474197,383.4026702272162,313.69309382226777
-85.89717943588718,350.5017321046214,385.55190531508356,315.4515588941593
-85.79715943188637,352.4110064056796,387.6521070462476,317.16990576511165
-85.69713942788557,354.2764599168987,389.70410590858864,318.84881392520884
-85.59711942388478,356.09884875910535,391.7087336350159,320.4889638831948
-85.49709941988398,357.87892922393786,393.6668221463317,322.0910363015441
-85.39707941588318,359.6174568738266,395.5792025612093,323.65571118644397
-85.29705941188237,361.3151857003822,397.4467042704204,325.18366713034396
-85.19703940788158,362.9728673386489,399.2701540725138,326.675580604784
-85.09701940388078,364.59125033475,401.050375368225,328.132125301275
-84.99699939987997,366.1710794645196,402.7881874109716,329.55397151806767
-84.89697939587917,367.7130951007839,404.4844046108623,330.94178559070554
-84.79695939187837,369.2180326270279,406.13983588973076,332.29622936432514
-84.69693938787758,370.6866218952506,407.75528408477567,333.6179597057255
-84.59691938387678,372.1195867258881,409.3315453984769,334.9076280532993
-84.49689937987597,373.51764444774955,410.8694088925245,336.1658800029746
-84.39687937587517,374.88150547598593,412.3696560235846,337.39335492838734
-84.29685937187438,376.2118729261768,413.8330602187945,338.59068563355913
-84.19683936787358,377.5094422626957,415.2603864889653,339.75849803642615
-84.09681936387277,378.7749009795756,416.6523910775332,340.89741088161804
-83.99679935987197,380.00892831217135,418.00982114338854,342.0080354809542
-83.89677935587117,381.21219497797205,419.3334144757693,343.09097548017485
-83.79675935187038,382.3853629449901,420.62389923948916,344.1468266504911
-83.69673934786957,383.5290852262133,421.88199374883465,345.176176703592
-83.59671934386877,384.6440056986641,423.10840626853053,346.1796051287977
-83.49669933986797,385.73075894567813,424.303834840246,347.1576830511103
-83.39667933586718,386.78997012106635,425.468967133173,348.11097310895974
-83.29665933186638,387.8222548338848,426.6044803172733,349.04002935049635
-83.19663932786557,388.8282190525924,427.71104095785165,349.94539714733315
-83.09661932386477,389.8084590274266,428.7893049301693,350.8276131246839
-82.99659931986398,390.7635612298862,429.83991735287486,351.6872051068976
-82.89657931586316,391.694102308252,430.86351253907725,352.52469207742683
-82.79655931186237,392.6006490581327,431.860713963946,353.3405841523195
-82.69653930786157,393.48375840706626,432.8321342477729,354.1353825663596
-82.59651930386077,394.34397741225223,433.7783751534775,354.909579671027
